trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,credit_card,sgd_lr,0.05,0.002958534,1.05E-06,0.002976004,0.010205468
1,credit_card,mlp_one_layer,0.05,0.027824514,9.26E-05,0.002976004,0.037239058
1,credit_card,mlp_two_layer,0.05,0.043434158,0.000225676,0.002976004,0.052955473
1,credit_card,mlp_three_layer,0.05,0.034060729,0.00013878,0.002976004,0.08222322
1,credit_card,sgd_lr,0.07,0.002249268,6.05E-07,0.00223355,0.00987485
1,credit_card,mlp_one_layer,0.07,0.024960326,7.45E-05,0.00223355,0.035357361
1,credit_card,mlp_two_layer,0.07,0.026115157,8.16E-05,0.00223355,0.050963414
1,credit_card,mlp_three_layer,0.07,0.03706362,0.000164329,0.00223355,0.070954387
1,credit_card,sgd_lr,0.09,0.002618402,8.20E-07,0.001659595,0.011208281
1,credit_card,mlp_one_layer,0.09,0.014605912,2.55E-05,0.001659595,0.032583572
1,credit_card,mlp_two_layer,0.09,0.025986975,8.08E-05,0.001659595,0.065746368
1,credit_card,mlp_three_layer,0.09,0.027987272,9.37E-05,0.001659595,0.059847349
1,credit_card,sgd_lr,0.11,0.00459527,2.53E-06,0.00103786,0.009437893
1,credit_card,mlp_one_layer,0.11,0.021153369,5.35E-05,0.00103786,0.030079185
1,credit_card,mlp_two_layer,0.11,0.021695042,5.63E-05,0.00103786,0.082873564
1,credit_card,mlp_three_layer,0.11,0.022096194,5.84E-05,0.00103786,0.078474111
1,credit_card,sgd_lr,0.13,0.009375988,1.05E-05,0.000683879,0.01062206
1,credit_card,mlp_one_layer,0.13,0.011888445,1.69E-05,0.000683879,0.028140142
1,credit_card,mlp_two_layer,0.13,0.012386898,1.84E-05,0.000683879,0.051164842
1,credit_card,mlp_three_layer,0.13,0.013668774,2.23E-05,0.000683879,0.080176721
1,credit_card,sgd_lr,0.15,0.000647506,5.02E-08,0.000384599,0.010733776
1,credit_card,mlp_one_layer,0.15,0.00327552,1.28E-06,0.000384599,0.039147824
1,credit_card,mlp_two_layer,0.15,3.98E-05,1.89E-10,0.000384599,0.069038093
1,credit_card,mlp_three_layer,0.15,0.001913118,4.38E-07,0.000384599,0.133371031
1,credit_card,sgd_lr,0.17,0.00388572,1.81E-06,0.00013486,0.011060551
1,credit_card,mlp_one_layer,0.17,0.000520405,3.24E-08,0.00013486,0.031310755
1,credit_card,mlp_two_layer,0.17,0.001555641,2.89E-07,0.00013486,0.061436099
1,credit_card,mlp_three_layer,0.17,0.002183016,5.70E-07,0.00013486,0.070051474
1,credit_card,sgd_lr,0.19,0.004443999,2.36E-06,2.41E-05,0.010603932
1,credit_card,mlp_one_layer,0.19,0.006213012,4.62E-06,2.41E-05,0.028766958
1,credit_card,mlp_two_layer,0.19,0.003052424,1.11E-06,2.41E-05,0.078541527
1,credit_card,mlp_three_layer,0.19,0.00516606,3.19E-06,2.41E-05,0.082270524
1,credit_card,sgd_lr,0.21,0.002008657,4.83E-07,8.51E-06,0.011097986
1,credit_card,mlp_one_layer,0.21,0.013319259,2.12E-05,8.51E-06,0.035900991
1,credit_card,mlp_two_layer,0.21,0.017348118,3.60E-05,8.51E-06,0.085868694
1,credit_card,mlp_three_layer,0.21,0.017704912,3.75E-05,8.51E-06,0.049872747
1,credit_card,sgd_lr,0.23,0.014008962,2.35E-05,5.50E-05,0.011611418
